开通	我想办理加油包
查询	看看我手机有什么收费
开通	开通四小时快销包
开通	买三十元流量加油包
办理	呃包套餐
查询	你好麻烦你帮我查话费查流量
开通	怎样开通四g流量包
查询	查一下话费有多少
查询	看看我套餐都剩多少
查询	话费余额还剩多少
具实	在重听一次
查询	呃你就给我查一下话费
开通	我需要个三十元加油包
查询	三月份那个上网费是怎么回事啊
开通	怎样办理五十元流量加油包
查询	我这个增值业务费每个月都扣
查询	别人话费
查询	帮我查一下我的话费还有多少钱
取消	我要将我的流量取消掉
查询	呃重听一遍话费多少
查询	我的手机我的话本月话费多少余额了基本话费
查询	查使用情况
查询	就是查话费
查询	帮我查一下话费清楚
开通	基础流量包功能开通
查询	我的卡还有多少积分
取消	把我小时流量包取消
取消	不小心开了一个十元的加油包帮我取消了吧
查询	开通我想请问一下我那个查流量才交了一百块
查询	我我我问你一下请问一下呃我这个业务七月怎
开通	夜间的流量包有什么样的
查询	我还剩多少话费
开通	开通三十元加油包
查询	话费查流
具实	唉刚才那个呃就是讲裁量改诗史查重新接那个
查询	木本流量信息发过来看还有多少流量
查询	我查给我查下话费
具实	呃帮助
查询	在话费可有了
具实	枢要人工服务
查询	给我看看手机密码
查询	查一下小时流量包
查询	还有剩余的套餐吗
开通	怎么买五十元流量加油包
开通	三十元国内流量给我开通
取消	把三百元基础流量包取消谢谢了
查询	我的短信剩多少
查询	嗯叫话还剩多少钱话费
开通	二十元加油包咋办理
开通	我要开通五十元国内加油流量
预约	我想预约我家的宽带
查询	我还剩多少分钟通话啊
取消	如何取消国内夜间闲时流量叠加包
具实	你能帮我转转接人工台服务吗
查询	我查这个月话费消费多少了
取消	夜间流量咋取消
查询	我呃我要查询我的流量怎么查询
查询	还有多少分钟没有用
查询	我想问一下我这个月租多少
查询	请问我的流量现在里面目前还有多少
查询	我这卡上有什么业务啊
开通	一百五十元基础流量包开通
查询	我的分钟数还有多少啊
查询	帮我查一下还剩多少条短信
确认	好短确认
查询	帮我查一下话费和流量
重置	我想重置密码
查询	请给我查下
开通	夜间流量怎么打开
查询	我密码是啥啊
开通	开通十元一g流量包发送什么短信
查询	我这短信还能发多少条
查询	查手机套餐
查询	套餐及固定费四十的是这是啥费用
查询	不是我一下查询我这这个这个这个电话费啊每
查询	重听一天的话费流量
修改	我怎么改宽带密码
咨询	融合宽带怎么收费的
取消	取消十元包国内流量套餐不是夜间的
查询	我充值记录看看
