取消	帮我取消夜间流量
取消	请帮我将九元小时流量包取消
具实	那你给我转人工服务台
具实	重听重听重听重听重听
开通	我打算办个流量加油包
查询	帮我查一下已开通的业务有哪些
查询	查一下有没有积分了
开通	我想买个加油包
查询	查询短信剩了多少条
查询	看我流量有多少
查询	帮我查一下话费呗话费查一下
开通	办理帮我办理加油包
查询	钱到没到账
开通	如何办理四g流量套餐业务
查询	查查积分有多少
查询	我手机上的积分有多少
查询	剩余的通话分钟数
查询	剩余分钟数还有多少
开通	五十元加油包有吗
开通	怎么开通十元一天用的
办理	商旅套餐的月租是怎么办理的
办理	就我这个需要再改一下套餐吧
开通	如何开通十g的基础流量费用多少
查询	家里啊便宜的查一下话费查询
修改	我要换密码
查询	一个月花销话费有多少
查询	我那个套餐里面的流量已里面有多少兆
查询	帮我帮我查一下话费
修改	电脑在哪里更改服务密码
具实	呃业务清单
查询	我的话费流
查询	喂你好你再帮我查下话费
开通	六元小时包介绍
查询	还有多少分钟可以使用
查询	我这张卡密码多少
开通	开流量包
查询	这月话费扣多钱
取消	帮我把夜间流量套餐十元包国内一g这个套餐取消
查询	请你给我查下话费
查询	雏鸟话费
取消	我不需要基础流量包了
查询	查询现在的手机费是多少
开通	我那个流量不够用怎么办
查询	我这短信还有剩余吗
开通	怎样定五十元流量加油包
查询	给我看看余额还剩多少
具实	退出噢谢谢
办理	我用银行卡怎么给手机交话费
修改	我想改下密码
查询	查询话费服务
开通	有六元的流量包吗给我开一个
取消	我想取消十元夜间流量包
查询	查一下我十二月份的扣费情况
查询	查询收取哪些费用了
查询	给我查询一下话费多少
开通	开通一百元包全国流量
查询	帮我看下有多少流量
办理	变更套餐
办理	怎么交话费
查询	我的查流量
查询	帮我查询话费
查询	我想请问一下我这个月的国内流量还剩余多少
查询	三本机的手机号码
取消	请将我的十元流量包取消
取消	帮我把夜间流量取消下
查询	还剩多少钱话费
查询	给我查查话费余额
开通	充值流量
查询	查下呗
查询	帮我查一下子里面有多少钱余额
查询	查下稿费
取消	我退流量
查询	我都办理什么了
修改	帮我修改下密码
开通	给办理个二百的流量包吧
查询	我想查当月消费情况
查询	查流量查话费
查询	积分咋查了
取消	你这里能取消三百元的基础流量包吗
具实	帮我重听
办理	我咋给手机充值
查询	查话费了
开通	我想问下刚刚办理了五元五百兆的国内流量从哪儿扣款的
查询	我查流量不要取消了
查询	我这边有增值业务费是什么呀
开通	有没有十元国内流量加油包
查询	通话还剩多长时间了
查询	我手机密码是多少啊
查询	我都什么时候充话费了
开通	十元国内流量加油包包多少
查询	查一下话费还有多少
具实	怎么说重听慰藉我不需要了服务厅退出怎么退
查询	看我都开通什么业务了
开通	你好我定个三百元三十g的流量
查询	看看我的话费
查询	帮我查一下我这个手机有多少兆流量
查询	我这张卡话费剩多少啊
开通	三十元包一g国内流量包
开通	我要办理流量加油包
查询	本机号码是多少
查询	套餐外上网费是怎么扣的
开通	那十块钱的红包那个加流量
查询	查费怎么查
取消	怎么取消我套餐里的闲时流量包
查询	我这个手机上有什么业务吗
开通	开通一百元国内流量
查询	给我查查
查询	看一下结转流量
